frame,timestamp,emotion,ear_avg_raw,mar_raw,smile_coeff_raw,mouth_width_raw,brow_dist_raw,mouth_asymmetry_raw,upper_lip_raise_raw,ear_avg_smooth,mar_smooth,smile_coeff_smooth,mouth_width_smooth,brow_dist_smooth,mouth_asymmetry_smooth,upper_lip_raise_smooth
121,1777817774100,Neutral,0.32253,0.00369,0.00087,0.33534,0.12144,0.00212,0.08964,0.30864,0.00623,0.00212,0.33532,0.12459,0.00179,0.09058
122,1777817774166,Neutral,0.33073,0.00351,0.00068,0.33593,0.12069,0.00305,0.08862,0.31527,0.00541,0.00169,0.3355,0.12342,0.00217,0.08999
123,1777817774233,Neutral,0.32924,0.00295,0.00053,0.33747,0.12098,0.00345,0.08746,0.31946,0.00467,0.00134,0.33609,0.12269,0.00255,0.08923
124,1777817774297,Neutral,0.3305,0.00254,0.00036,0.33846,0.12086,0.00364,0.088,0.32277,0.00403,0.00105,0.3368,0.12214,0.00288,0.08886
125,1777817774331,Neutral,0.33028,0.00237,0.00053,0.33908,0.12076,0.00387,0.08805,0.32502,0.00353,0.00089,0.33749,0.12173,0.00317,0.08862
126,1777817774398,Sad,0.33149,0.00209,0.00079,0.34034,0.12041,0.00381,0.08794,0.32696,0.0031,0.00086,0.33834,0.12133,0.00337,0.08841
127,1777817774431,Sad,0.33288,0.00198,0.0005,0.34053,0.12013,0.00343,0.08778,0.32874,0.00277,0.00075,0.339,0.12097,0.00338,0.08822
128,1777817774465,Sad,0.333,0.00197,0.00029,0.34088,0.12023,0.00301,0.08756,0.33002,0.00253,0.00061,0.33956,0.12075,0.00327,0.08802
129,1777817774498,Sad,0.33389,0.00198,8e-05,0.34093,0.12018,0.00266,0.08738,0.33118,0.00236,0.00045,0.33997,0.12058,0.00309,0.08783
130,1777817774531,Sad,0.3348,0.00203,-0.00021,0.3409,0.12005,0.00255,0.08716,0.33227,0.00226,0.00025,0.34025,0.12042,0.00293,0.08763
131,1777817774566,Sad,0.33519,0.00211,-0.00043,0.34091,0.11994,0.00256,0.087,0.33314,0.00222,5e-05,0.34045,0.12028,0.00282,0.08744
132,1777817774633,Sad,0.33426,0.00213,-0.00045,0.34145,0.12002,0.00252,0.08709,0.33348,0.00219,-0.0001,0.34075,0.1202,0.00273,0.08733
133,1777817774698,Sad,0.33342,0.00211,-0.00041,0.34223,0.12013,0.00252,0.08714,0.33346,0.00217,-0.00019,0.34119,0.12018,0.00266,0.08727
134,1777817774732,Sad,0.3331,0.00209,-0.00038,0.34307,0.12011,0.00255,0.08707,0.33335,0.00215,-0.00025,0.34176,0.12016,0.00263,0.08721
135,1777817774799,Sad,0.33128,0.00204,-0.00033,0.34337,0.12036,0.00257,0.08704,0.33273,0.00211,-0.00027,0.34224,0.12022,0.00261,0.08716
136,1777817774863,Neutral,0.29147,0.00199,-0.00023,0.34462,0.13038,0.00251,0.08712,0.32035,0.00208,-0.00026,0.34295,0.12327,0.00258,0.08715
137,1777817774897,Neutral,0.28807,0.00199,-0.00016,0.34558,0.13219,0.00258,0.08708,0.31067,0.00205,-0.00023,0.34374,0.12594,0.00258,0.08713
138,1777817774930,Neutral,0.28355,0.00198,-0.00013,0.34631,0.13356,0.00253,0.08709,0.30253,0.00203,-0.0002,0.34451,0.12823,0.00257,0.08712
139,1777817774965,Neutral,0.2828,0.00195,-8e-05,0.34656,0.13421,0.00257,0.08709,0.29661,0.00201,-0.00017,0.34513,0.13002,0.00257,0.08711
140,1777817774998,Neutral,0.28447,0.00193,-0.0001,0.34697,0.13404,0.00255,0.08709,0.29297,0.00198,-0.00015,0.34568,0.13123,0.00256,0.0871
141,1777817775032,Neutral,0.2853,0.00188,-2e-05,0.34789,0.13411,0.0024,0.0871,0.29067,0.00195,-0.00011,0.34634,0.13209,0.00251,0.0871
142,1777817775065,Neutral,0.28626,0.00161,-0.00033,0.34836,0.1343,0.00245,0.08728,0.28935,0.00185,-0.00018,0.34695,0.13275,0.0025,0.08716
143,1777817775097,Neutral,0.28663,0.00191,-0.00044,0.35194,0.13481,0.00299,0.08622,0.28853,0.00187,-0.00026,0.34844,0.13337,0.00264,0.08688
144,1777817775131,Neutral,0.28672,0.00424,-0.00268,0.3593,0.13541,0.00394,0.08145,0.28799,0.00258,-0.00098,0.3517,0.13398,0.00303,0.08525
145,1777817775165,Neutral,0.29198,0.00611,-0.00542,0.36544,0.1342,0.00493,0.07388,0.28918,0.00364,-0.00231,0.35582,0.13405,0.0036,0.08184
146,1777817775198,Neutral,0.29946,0.0069,-0.00737,0.37153,0.13353,0.00545,0.06953,0.29227,0.00462,-0.00383,0.36054,0.13389,0.00416,0.07814
147,1777817775231,Neutral,0.30158,0.00698,-0.01004,0.38136,0.13264,0.00549,0.06614,0.29506,0.00533,-0.00569,0.36678,0.13352,0.00456,0.07454
148,1777817775266,Neutral,0.307,0.00789,-0.01209,0.39084,0.13208,0.00376,0.06305,0.29864,0.0061,-0.00761,0.374,0.13309,0.00432,0.0711
149,1777817775333,Neutral,0.31246,0.00561,-0.01348,0.40622,0.1327,0.00297,0.06068,0.30279,0.00595,-0.00937,0.38367,0.13297,0.00391,0.06797
150,1777817775397,Neutral,0.31175,0.00616,-0.01465,0.41036,0.13364,0.00254,0.05889,0.30548,0.00601,-0.01096,0.39167,0.13317,0.0035,0.06525
151,1777817775432,Neutral,0.30856,0.0066,-0.01508,0.41168,0.13418,0.00261,0.05866,0.3064,0.00619,-0.01219,0.39768,0.13347,0.00323,0.06327
152,1777817775499,Neutral,0.30673,0.00716,-0.01479,0.41148,0.12979,0.00297,0.05982,0.3065,0.00648,-0.01297,0.40182,0.13237,0.00316,0.06224
